date,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,name
2020-03-28,76,0,73,3,0,0,,0,0,,,新疆
2020-03-29,76,0,73,3,0,0,,0,0,,,新疆
2020-03-30,76,0,73,3,0,0,,0,0,,,新疆
2020-03-31,76,0,73,3,0,0,,0,0,,,新疆
2020-01-24,3,1,0,0,0,3,,0,0,,,宁夏
2020-01-25,4,1,0,0,0,1,,0,0,,,宁夏
2020-01-26,7,0,0,0,0,3,,0,0,,,宁夏
2020-01-27,11,0,0,0,0,4,,0,0,,,宁夏
2020-01-28,12,2,0,0,0,1,,0,0,,,宁夏
2020-01-29,17,1,0,0,0,5,,0,0,,,宁夏
2020-01-30,21,1,0,0,0,4,,0,0,,,宁夏
2020-01-31,26,1,0,0,0,5,,0,0,,,宁夏
2020-02-01,28,8,0,0,0,2,,0,0,,,宁夏
2020-02-02,31,12,1,0,0,3,,1,0,,,宁夏
2020-02-03,34,18,1,0,0,3,,0,0,,,宁夏
2020-02-04,34,24,1,0,0,0,,0,0,,,宁夏
2020-02-05,40,0,1,0,0,6,0.0,0,0,,,宁夏
2020-02-06,43,45,1,0,0,3,6.0,0,0,,,宁夏
2020-02-07,44,0,3,0,0,1,,2,0,,,宁夏
2020-02-08,45,0,13,0,0,1,,10,0,,,宁夏
2020-02-09,49,0,13,0,0,4,,0,0,,,宁夏
2020-02-10,53,0,14,0,0,4,,1,0,,,宁夏
2020-02-11,58,0,22,0,0,5,0.0,8,0,,,宁夏
2020-02-12,64,0,24,0,0,6,,2,0,,,宁夏
2020-02-13,67,0,24,0,0,3,,0,0,,,宁夏
2020-02-14,70,0,27,0,0,3,,3,0,,,宁夏
2020-02-15,70,0,33,0,0,0,,6,0,,,宁夏
2020-02-16,70,0,33,0,0,0,,0,0,,,宁夏
2020-02-17,70,0,35,0,0,0,,2,0,,,宁夏
2020-02-18,71,0,42,0,0,1,,7,0,,,宁夏
2020-02-19,71,0,42,0,0,0,,0,0,,,宁夏
2020-02-20,71,0,44,0,0,0,,2,0,,,宁夏
